StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Statement of Consent,Q7,Q7_5_TEXT,Q8,Q9,Q9_3_TEXT,Q11,Q11_5_TEXT,Q12,Q13,Q14,Q15,Q15_6_TEXT,Q18,Q11
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Title of Study:
The Impact of Female Role Models on the Retention of Women in Computer Science

Principal Investigator (PI):

Anja Samsom (student), Lisa Dion (advisor)


Department:

UVM Honors College and CEMS Computer Science (CS)

Introduction:
You are being invited to take part in this research study because you have some level of experience with computer science. This study is being conducted by Anja Samsom for her Honors College thesis at the University of Vermont.


Purpose:
The purpose of this study is to gain information about the impact of female role models on the retention of women in computer science. Not being a woman or not currently being in a computer science field does not disqualify you from participating in the study.


Study Procedures:

If you take part in the study, you will be asked to complete a survey. This survey will take about 5 – 10 minutes and will ask you about your introduction to computer science, the gender of whoever introduced you to computer science, your gender, and the amount that you continued with computer science, among other questions.


Benefits:

As a participant in this research study, there may not be direct benefit for you; however, information from this study may benefit other people now or in the future.


Risks:

We will not collect any information that will identify you in order to protect your confidentiality.


Costs:

There will be no costs to you for participation in this research study, other than your time.


Compensation:

You will not be paid for taking part in this study. After the survey, you will be directed to a separate link with the option to enter a drawing to win one of four $100 digital Visa gift cards. To enter the gift card drawing after the survey, you will be directed to a separate form that asks for only your email. Your gift card drawing information will not be able to be linked to your survey submission.


Confidentiality:

All information collected about you during the course of this study will be stored without any identifiers. No one will be able to match you to your answers. There are text fields in this survey. Please do not input any confidential information in this survey.
Voluntary:

Participation/Withdrawal Taking part in this study is voluntary. You may choose not to take part in this study. However, once you submit a response to this survey, your response cannot be removed as all your responses will be anonymous. If you choose not to participate, your decision will have no effect on your grade or academic standing.


Questions:

If you have any questions about this study now or in the future, you may contact Anja Samsom at asamsom@uvm.edu or Professor Lisa Dion at lisa.dion@uvm.edu. If you have questions or concerns about your rights as a research participant, then you may contact the Director of the Research Protections Office at (802) 656-5040. It is recommended you print this information sheet for your records before continuing.


Statement of Consent:

You have been given and have read or have had read to you a summary of this research study. Should you have any further questions about the research, you may contact the person conducting the study at the address and telephone number given above. Your participation is voluntary, and you may refuse to participate or withdraw at any time without penalty or prejudice. 

	This survey is meant to be anonymous, please do not input any confidential or identifiable information into the text boxes.

By writing clicking this box, I agree to participate in this study, and you understand that you received a copy of this form.",Gender - Selected Choice,Gender - Other (please describe) - Text,Years you attended college (put N/A if you haven’t yet or never went to college),Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - Selected Choice,"Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - No, my first experience was not a class (please describe) - Text",What was the gender of the first person who taught you computer science? - Selected Choice,What was the gender of the first person who taught you computer science? - Other (please describe) - Text,"Were you more interested, less interested, or had the same amount of interest in 
computer science after your first class / experience with CS?","After this first class/experience, did you continue with computer science classes or 
programs?","Do you think the gender of your instructor impacted your choice to continue to study (or 
not study) computer science?",Which of these options best describes you? - Selected Choice,Which of these options best describes you? - Other (please describe) - Text,"If you never came back to computer science, why?",Other comments on your experience with computer science?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_3_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_5_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}"
2023-10-03 18:25:43,2023-10-03 18:25:50,Survey Preview,100,6,True,2023-10-03 18:25:52,R_scYwZXUEP52EYPT,preview,EN,I do not consent to this survey,,,,,,,,,,,,,,
2023-10-03 19:06:26,2023-10-03 19:07:06,Survey Preview,100,40,True,2023-10-03 19:07:07,R_2rGfDsUgxfCQSo0,preview,EN,I consent to this survey,Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,yes,I am studying computer science as a major/ I graduated with a CS major,,,
2023-10-04 11:13:40,2023-10-04 11:26:38,Survey Preview,100,777,True,2023-10-04 11:26:40,R_2PbZRl3sOd0nUGw,preview,EN,I do not consent to this survey,,,,,,,,,,,,,,
2023-10-04 11:26:45,2023-10-04 11:27:03,Survey Preview,100,17,True,2023-10-04 11:27:04,R_1fj8QCGqbmWAsX1,preview,EN,I consent to this survey,,,,,,Female,,,,,,,,
2023-10-04 11:31:30,2023-10-04 11:32:12,Survey Preview,100,41,True,2023-10-04 11:32:13,R_W02KwFcbrPf56w1,preview,EN,I consent to this survey,Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,information here,I am studying computer science as a major/ I graduated with a CS major,,,
2023-10-04 11:32:19,2023-10-04 11:33:26,Survey Preview,100,66,True,2023-10-04 11:33:27,R_1Gy4pofyQGJDTPg,preview,EN,I consent to this survey,Female,,2020-2024,"Yes, a class in grade school",,Female,,More interested,Yes,information,"After some experience with computer science, I never came back to the field of study",,kbksfjbdkjb,skfbksdhb
2023-10-04 11:35:17,2023-10-04 11:35:46,Survey Preview,100,28,True,2023-10-04 11:35:48,R_XU4jv0k6nZ3cNwd,preview,EN,I consent to this survey,Female,,mwbmb,"Yes, a class in grade school",,Female,,More interested,Yes,eskhfbkhfd,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,,
2023-10-04 11:44:48,2023-10-04 11:45:29,Survey Preview,100,40,True,2023-10-04 11:45:30,R_cVlkqz6peUTErIZ,preview,EN,I consent to this survey,Female,,sds,"Yes, a class in college",,"Female,Other (please describe)",afnbdmnb,More interested,Yes,adhbkhsb,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,asdads,asdsdfd
