Gender - Selected Choice,Gender - Other (please describe) - Text,Years you attended college (put N/A if you haven't yet or never went to college),Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - Selected Choice,"Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - No, my first experience was not a class (please describe) - Text",What was the gender of the first person who taught you computer science? - Selected Choice,What was the gender of the first person who taught you computer science? - Other (please describe) - Text,"Were you more interested, less interested, or had the same amount of interest in 
computer science after your first class / experience with CS?","After this first class/experience, did you continue with computer science classes or 
programs?","Do you think the gender of your instructor impacted your choice to continue to study (or 
not study) computer science?",Which of these options best describes you? - Selected Choice,Which of these options best describes you? - Other (please describe) - Text,"If you never came back to computer science, why?",Other comments on your experience with computer science?
Female,,2019-2023,"Yes, a class in college",,Male,,Same interest level,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,It has been a complex but fun experience
Female,,1,"Yes, a class in grade school",,Male,,Less interested,Yes,I think the gender was the first thing I regcognized but it was their behavior that made me want to leave/stay,I am studying computer science as a major/ I graduated with a CS major,,,I think that it is the attitude of the institution /class of the computer science and that some of my best classes were taught my middle aged men but that they wanted everyone to learn.
Female,,4,"No, my first experience was not a class (please describe)",Extracurricular (robotics),Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
Male,,1 so far,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,Nope
Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No but seeing women instructors helped,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Male,,1.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,I find it very interesting and I find myself doing computer science for fun in my free time. 
Male,,2021-present (class of 2025),"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Male,,Same interest level,Yes,No I don't think so. I knew before going into computer science that there was a limited amount of women in the field so I was not surprised that I had a majority male teachers/professors.,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2-Jan,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"Computer science has always been a pretty fun subject for me, but I have found it more enjoyable when I learned it from my high school CS teacher"
Male,,2,"Yes, a class in college",,Female,,More interested,Yes,Yes I do.,I am studying computer science as a major/ I graduated with a CS major,,,I find spaces that are majority women or with more women within computer science more approachable as I find myself to be more comfortable around women
Non-binary,,1/2 (Currently attending),"Yes, a class in grade school",,Female,,More interested,Yes,Not particularly,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,One of my friends was a big influence in getting me to try computer science.
Female,,4,"Yes, a class in college",,Male,,More interested,Yes,Not with my first class but later on with the harder classes having a female role model definitely made more confident in my choice to continue cs ,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Male,,Less interested,Yes,No. I was stuck with comp sci so the gender of the teacher didn't  make an impact on my decision.,I am studying computer science as a major/ I graduated with a CS major,,,Gender didn't  have any impact on my decision to continue computer science but I've found that I was a bit more engaged when it was a female professor.
Non-binary,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,Probably subtly,I am studying computer science as a minor/ I graduated with a CS minor,,,
Non-binary,,2021-2025,"Yes, a class in college",,Male,,More interested,Yes,Probably subtly,I am studying computer science as a minor/ I graduated with a CS minor,,,
Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,I dont think the gender of my instructor had an impact on my choice to continue with computer science,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,"202,220,232,024","Yes, a class in college",,Male,,More interested,Yes,No I don't .,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,I think so,I am studying computer science as a major/ I graduated with a CS major,,,I got into because my mother did it 
Female,,2.5,"Yes, a class in college",,Female,,More interested,Yes,"Yes, seeing others like myself helped motivate me to continue studying cs. ",I am studying computer science as a major/ I graduated with a CS major,,,
Female,,3,"Yes, a class in grade school",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2,"No, my first experience was not a class (please describe)",I did some DIY arduino stuff at home in 5th grade,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I mostly taught myself. When I got to school, I already understood Java and had done quite a bit. I suspect my professors have had a less them avg impact on my feelings."
Male,,2,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,I love everything about it 
Female,,0.5,"No, my first experience was not a class (please describe)","When I was 6-7, my dad taught me some HTML and I used makey makey, Scratch, etc. Did some minecraft programming too.",Male,,Same interest level,Yes,"Not gender, just the person",Other (please describe),studying data science and working in the field,,"After returning to CS because of my job, as I gained confidence with it and saw more of it I became more interested."
